customerID,MonthlyCharges,tenure,Contract,InternetService,Churn_Probability
5542-TBBWB,69.9,1,Month-to-month,Fiber optic,0.97720647
1628-BIZYP,85.0,1,Month-to-month,Fiber optic,0.96797717
3587-PMCOY,98.9,10,One year,Fiber optic,0.9666657
2254-DLXRI,79.15,1,Month-to-month,Fiber optic,0.95330334
7577-SWIFR,89.25,1,Month-to-month,Fiber optic,0.9524744
9927-DSWDF,104.6,22,Month-to-month,Fiber optic,0.9513018
2018-QKYGT,81.05,1,Month-to-month,Fiber optic,0.948291
4927-WWOOZ,91.45,2,Month-to-month,Fiber optic,0.9451516
2657-VPXTA,88.85,10,Month-to-month,Fiber optic,0.94159335
7439-DKZTW,80.55,1,Month-to-month,Fiber optic,0.9395169
1941-HOSAM,90.1,1,Month-to-month,Fiber optic,0.9357169
1452-VOQCH,75.1,1,Month-to-month,Fiber optic,0.9301601
0187-QSXOE,89.0,7,Month-to-month,Fiber optic,0.9288643
7465-ZZRVX,70.35,1,Month-to-month,Fiber optic,0.9233335
2545-EBUPK,84.05,2,Month-to-month,Fiber optic,0.9169113
5168-MSWXT,94.75,8,Month-to-month,Fiber optic,0.90934336
6137-NICCO,94.05,6,Month-to-month,Fiber optic,0.90889025
8118-TJAFG,101.5,9,Month-to-month,Fiber optic,0.9083304
1640-PLFMP,70.25,1,Month-to-month,Fiber optic,0.9078877
5501-TVMGM,55.25,1,Month-to-month,DSL,0.9068599
9603-OAIHC,70.05,1,Month-to-month,Fiber optic,0.90684605
3878-AVSOQ,71.25,1,Month-to-month,Fiber optic,0.906804
0021-IKXGC,72.1,1,Month-to-month,Fiber optic,0.906804
4273-MBHYA,89.35,1,Month-to-month,Fiber optic,0.9057717
3318-NMQXL,92.0,3,Month-to-month,Fiber optic,0.9054794
6215-NQCPY,99.7,15,Month-to-month,Fiber optic,0.9050756
4633-MKHYU,88.4,9,Month-to-month,Fiber optic,0.90319383
4234-XTNEA,79.95,2,Month-to-month,Fiber optic,0.90252256
9605-WGJVW,70.2,1,Month-to-month,Fiber optic,0.90250343
3384-CTMSF,104.1,47,Month-to-month,Fiber optic,0.8989611
7363-QTBIW,79.75,9,Month-to-month,Fiber optic,0.8989599
2924-KHUVI,100.55,56,One year,Fiber optic,0.8988533
4445-ZJNMU,99.3,9,Month-to-month,Fiber optic,0.8967741
8161-QYMTT,94.1,7,Month-to-month,Fiber optic,0.8933999
4912-PIGUY,84.6,1,Month-to-month,Fiber optic,0.8926518
5032-MIYKT,70.7,1,Month-to-month,Fiber optic,0.89161974
5382-SOYZL,95.1,22,Month-to-month,Fiber optic,0.8909613
4847-TAJYI,89.35,6,Month-to-month,Fiber optic,0.8908455
8087-LGYHQ,94.05,9,Month-to-month,Fiber optic,0.89080524
6786-OBWQR,80.85,5,Month-to-month,Fiber optic,0.8894221
9617-INGJY,70.6,1,Month-to-month,Fiber optic,0.88663584
8309-IEYJD,70.6,1,Month-to-month,Fiber optic,0.88645977
6559-PDZLR,98.65,26,Month-to-month,Fiber optic,0.8847762
0376-OIWME,93.6,36,Month-to-month,Fiber optic,0.88276064
4115-NZRKS,89.15,7,Month-to-month,Fiber optic,0.88128126
1319-YLZJG,84.6,12,Month-to-month,Fiber optic,0.87473315
4123-DVHPH,88.05,9,Month-to-month,Fiber optic,0.8709228
1393-IMKZG,95.85,1,Month-to-month,Fiber optic,0.8666938
1357-BIJKI,98.25,50,One year,Fiber optic,0.8662653
0722-SVSFK,100.4,7,Month-to-month,Fiber optic,0.8654836
3422-GALYP,79.45,2,Month-to-month,Fiber optic,0.8623745
2754-SDJRD,100.15,8,Month-to-month,Fiber optic,0.86235994
9643-AVVWI,80.0,3,Month-to-month,Fiber optic,0.86182684
6229-LSCKB,79.7,6,Month-to-month,Fiber optic,0.8615059
2800-QQUSO,100.3,42,Month-to-month,Fiber optic,0.8613534
8033-VCZGH,103.95,50,One year,Fiber optic,0.8610385
3374-TTZTK,106.3,52,Two year,Fiber optic,0.86100906
8132-YPVBX,85.95,6,Month-to-month,Fiber optic,0.86097634
2862-PFNIK,24.7,1,Month-to-month,DSL,0.86066437
2371-JQHZZ,93.0,24,Month-to-month,Fiber optic,0.858827
2920-RNCEZ,69.95,1,Month-to-month,Fiber optic,0.8546432
6507-ZJSUR,90.45,23,Month-to-month,Fiber optic,0.8532537
6127-IYJOZ,45.85,1,Month-to-month,DSL,0.85197407
8775-ERLNB,74.3,1,Month-to-month,Fiber optic,0.85107595
1855-AGAWH,93.8,31,One year,Fiber optic,0.85092384
8622-ZLFKO,90.75,6,Month-to-month,Fiber optic,0.8502427
2985-FMWYF,93.5,23,Month-to-month,Fiber optic,0.8499295
5133-POWUA,45.8,1,Month-to-month,DSL,0.8496728
3566-HJGPK,45.55,1,Month-to-month,DSL,0.8496728
2369-FEVNO,19.9,1,Month-to-month,No,0.84914
2478-EEWWM,44.3,59,Month-to-month,DSL,0.84907293
3191-CSNMG,80.7,3,Month-to-month,Fiber optic,0.84890914
7426-RHZGU,95.9,9,Month-to-month,Fiber optic,0.8478631
7392-YYPYJ,100.65,22,Month-to-month,Fiber optic,0.8477678
4937-QPZPO,99.9,61,One year,Fiber optic,0.8460917
5129-JLPIS,105.5,25,Month-to-month,Fiber optic,0.84296167
2831-EBWRN,45.9,4,Month-to-month,DSL,0.84272385
3855-ONCAR,78.9,4,Month-to-month,Fiber optic,0.839899
8714-CTZJW,82.85,4,Month-to-month,Fiber optic,0.83831656
2604-IJPDU,96.55,20,Month-to-month,Fiber optic,0.83733994
5760-FXFVO,78.95,6,Month-to-month,Fiber optic,0.83563876
9360-OMDZZ,94.1,24,Month-to-month,Fiber optic,0.83530074
3462-BJQQA,89.75,6,Month-to-month,Fiber optic,0.83247304
6986-IXNDM,92.9,14,Month-to-month,Fiber optic,0.83233416
4298-OYIFC,103.45,15,Month-to-month,Fiber optic,0.83162606
3489-HHPFY,84.05,2,Month-to-month,Fiber optic,0.8306573
9058-MJLZC,94.6,24,Month-to-month,Fiber optic,0.8302404
3003-CMDUU,95.15,25,Month-to-month,Fiber optic,0.82960963
5294-DMSFH,87.8,29,Month-to-month,Fiber optic,0.82915306
3096-GKWEB,94.75,18,Month-to-month,Fiber optic,0.8284413
1508-DFXCU,81.45,12,Month-to-month,Fiber optic,0.82780546
6630-UJZMY,83.25,4,Month-to-month,Fiber optic,0.8274718
6969-MVBAI,90.1,9,Month-to-month,Fiber optic,0.8268789
7326-RIGQZ,69.8,6,Month-to-month,Fiber optic,0.8265394
7402-EYFXX,93.6,26,Month-to-month,Fiber optic,0.826218
9717-QEBGU,70.3,2,Month-to-month,Fiber optic,0.82571185
1930-WNXSB,92.85,58,Month-to-month,Fiber optic,0.8255737
2789-HQBOU,80.35,3,Month-to-month,Fiber optic,0.8250972
2959-FENLU,85.3,9,Month-to-month,Fiber optic,0.82396805
9979-RGMZT,94.05,7,One year,Fiber optic,0.82347023
9821-BESNZ,104.25,66,One year,Fiber optic,0.8227284
4559-UWIHT,82.65,14,Month-to-month,Fiber optic,0.82249
3317-VLGQT,78.1,14,Month-to-month,Fiber optic,0.82186264
9094-AZPHK,100.15,15,Month-to-month,Fiber optic,0.8210202
4132-KALRO,100.85,4,Month-to-month,Fiber optic,0.82048976
4770-UEZOX,74.75,2,Month-to-month,Fiber optic,0.8201746
6242-MBHPK,95.1,23,Month-to-month,Fiber optic,0.81998986
1956-YIFGE,100.05,22,One year,Fiber optic,0.81876
4301-VVZKA,75.4,16,Month-to-month,Fiber optic,0.81865996
9822-OAOVB,55.45,1,Month-to-month,DSL,0.8183881
5348-CAGXB,89.55,12,Month-to-month,Fiber optic,0.81816524
2688-BHGOG,79.55,9,Month-to-month,Fiber optic,0.8164603
9919-KNPOO,94.3,21,Month-to-month,Fiber optic,0.81535804
3211-AAPKX,98.55,20,Month-to-month,Fiber optic,0.81474125
0396-YCHWO,95.4,36,Month-to-month,Fiber optic,0.81336033
6322-PJJDJ,94.8,49,Two year,Fiber optic,0.81300306
0508-OOLTO,71.65,2,Month-to-month,Fiber optic,0.81300026
4468-YDOVK,48.65,5,Month-to-month,DSL,0.81220293
6537-QLGEX,38.9,16,Month-to-month,DSL,0.8114953
0928-XUTSN,80.5,13,Month-to-month,Fiber optic,0.8114406
9432-VOFYX,70.8,17,Month-to-month,Fiber optic,0.80952024
5150-ITWWB,94.85,3,Month-to-month,Fiber optic,0.80852115
0082-OQIQY,94.2,29,Month-to-month,Fiber optic,0.80803615
9779-DPNEJ,80.15,22,Month-to-month,Fiber optic,0.8072368
2897-DOVND,69.8,2,Month-to-month,Fiber optic,0.8062449
5995-SNNEW,104.45,23,Month-to-month,Fiber optic,0.806145
5091-HFAZW,91.15,2,Month-to-month,Fiber optic,0.80588955
5628-FCGYG,84.1,21,Month-to-month,Fiber optic,0.80355686
7858-GTZSP,86.55,12,Month-to-month,Fiber optic,0.80157864
8739-XNIKG,84.0,5,Month-to-month,Fiber optic,0.8013507
9054-FOWNV,88.75,22,Month-to-month,Fiber optic,0.8013497
9334-GWGOW,74.85,7,Month-to-month,Fiber optic,0.8012016
8266-VBFQL,90.4,4,Month-to-month,Fiber optic,0.7991009
2465-BLLEU,19.75,1,Month-to-month,No,0.7969441
2215-ZAFGX,85.5,9,Month-to-month,Fiber optic,0.79663306
5701-YVSVF,82.9,11,Month-to-month,Fiber optic,0.7962177
6286-SUUWT,19.95,1,Month-to-month,No,0.7954246
5226-NOZFC,85.75,26,Month-to-month,Fiber optic,0.7948975
5183-SNMJQ,95.1,10,Month-to-month,Fiber optic,0.7941667
4706-DGAHW,45.2,1,Month-to-month,DSL,0.79408205
2675-DHUTR,98.9,58,Month-to-month,Fiber optic,0.79261243
9957-YODKZ,80.8,6,Month-to-month,Fiber optic,0.79192275
7517-LDMPS,84.6,12,Month-to-month,Fiber optic,0.7912936
8903-XEBGX,55.3,2,Month-to-month,DSL,0.7911473
0480-BIXDE,96.8,19,Month-to-month,Fiber optic,0.7882794
5651-YLPRD,86.1,32,Month-to-month,Fiber optic,0.7880639
1475-VWVDO,74.9,7,Month-to-month,Fiber optic,0.78785974
2077-MPJQO,75.4,7,Month-to-month,Fiber optic,0.7872461
5649-RXQTV,99.0,51,Month-to-month,Fiber optic,0.78716403
0365-BZUWY,102.55,17,Month-to-month,Fiber optic,0.78703135
7321-VGNKU,70.35,2,Month-to-month,Fiber optic,0.78559345
2123-AGEEN,84.35,7,Month-to-month,Fiber optic,0.7854597
9290-SHCMB,96.85,13,Month-to-month,Fiber optic,0.78505355
5117-IFGPS,84.3,29,Month-to-month,Fiber optic,0.7848471
6818-DJXAA,91.1,10,Month-to-month,Fiber optic,0.7845139
2880-FPNAE,74.2,2,Month-to-month,Fiber optic,0.7844166
3292-PBZEJ,111.4,11,Month-to-month,Fiber optic,0.7840165
8040-MNRTF,71.1,1,Month-to-month,Fiber optic,0.7836289
4661-NJEUX,20.05,1,Month-to-month,No,0.78353894
9314-IJWSQ,84.8,14,Month-to-month,Fiber optic,0.78326523
6357-JJPQT,80.5,3,Month-to-month,Fiber optic,0.7816453
2921-XWDJH,83.45,38,Month-to-month,Fiber optic,0.77876455
6350-XFYGW,94.75,4,Month-to-month,Fiber optic,0.7765449
6339-YPSAH,73.8,9,Month-to-month,Fiber optic,0.77601224
4536-PLEQY,85.05,12,Month-to-month,Fiber optic,0.77600193
7044-YAACC,70.2,4,Month-to-month,Fiber optic,0.774703
1077-HUUJM,71.05,7,Month-to-month,Fiber optic,0.7745596
5899-OUVKV,94.5,31,Month-to-month,Fiber optic,0.77391267
2530-FMFXO,103.2,56,Two year,Fiber optic,0.77312315
6815-ABQFQ,107.25,56,One year,Fiber optic,0.7729613
0018-NYROU,68.95,5,Month-to-month,Fiber optic,0.772567
8212-DJRCH,90.35,5,Month-to-month,Fiber optic,0.77196795
1173-XZPYF,89.2,11,Month-to-month,Fiber optic,0.7718402
9644-UMGQA,49.15,6,Month-to-month,DSL,0.7715231
5022-JNQEQ,75.85,9,Month-to-month,Fiber optic,0.77142507
8035-PWSEV,89.25,6,Month-to-month,Fiber optic,0.770458
1028-FFNJK,101.5,30,Month-to-month,Fiber optic,0.7693313
5043-TRZWM,75.55,1,Month-to-month,Fiber optic,0.7691612
6704-UTUKK,45.9,29,Month-to-month,DSL,0.76873994
8313-NDOIA,104.15,24,Month-to-month,Fiber optic,0.7680609
1379-FRVEB,91.0,15,Month-to-month,Fiber optic,0.76758087
5482-VXSXJ,93.2,22,Month-to-month,Fiber optic,0.767052
5288-AHOUP,78.5,11,Month-to-month,Fiber optic,0.7659054
9903-LYSAB,73.15,18,Month-to-month,Fiber optic,0.76473236
6559-RAKOZ,97.95,49,One year,Fiber optic,0.7644846
7952-OBOYL,89.85,3,Month-to-month,Fiber optic,0.7628641
3518-PZXZQ,55.3,1,Month-to-month,DSL,0.762304
8356-WUAOJ,45.0,1,Month-to-month,DSL,0.7610408
2468-SJFLM,74.3,1,Month-to-month,Fiber optic,0.76098734
2187-PKZAY,79.95,12,Month-to-month,Fiber optic,0.760791
9840-EFJQB,74.35,1,Month-to-month,Fiber optic,0.76031744
9633-XQABV,70.25,3,Month-to-month,Fiber optic,0.7587937
2103-ZRXFN,50.75,1,Month-to-month,DSL,0.75867605
9629-NHXFW,19.4,1,Month-to-month,No,0.75686866
2905-KFQUV,70.4,2,Month-to-month,Fiber optic,0.7562864
0168-XZKBB,86.85,19,Month-to-month,Fiber optic,0.75578004
5207-PLSTK,48.75,1,Month-to-month,DSL,0.75539625
1751-NCDLI,98.85,46,Month-to-month,Fiber optic,0.75465685
0455-XFASS,69.55,3,Month-to-month,Fiber optic,0.75423354
6158-HDPXZ,25.35,1,Month-to-month,DSL,0.7540723
3030-YDNRM,74.85,8,Month-to-month,Fiber optic,0.75371
2325-NBPZG,74.55,3,Month-to-month,Fiber optic,0.75368613
9402-ORRAH,91.5,15,Month-to-month,Fiber optic,0.75354373
3001-UNBTL,103.95,29,Month-to-month,Fiber optic,0.7531157
1658-TJVOA,74.1,6,Month-to-month,Fiber optic,0.75213146
4090-KPJIP,74.95,3,Month-to-month,Fiber optic,0.75176966
2252-ISRNH,90.35,9,One year,Fiber optic,0.75171673
9547-ITEFG,102.6,9,Month-to-month,Fiber optic,0.7504929
2480-JZOSN,20.65,1,Month-to-month,No,0.7500891
8541-QVFKM,73.5,8,Month-to-month,Fiber optic,0.7486802
8242-SOQUO,84.7,5,Month-to-month,Fiber optic,0.7484356
0247-SLUJI,19.7,1,Month-to-month,No,0.7482764
8325-QRPZR,75.15,7,Month-to-month,Fiber optic,0.7475514
7994-UYIVZ,85.65,8,Month-to-month,Fiber optic,0.7468868
5934-RMPOV,84.75,22,Month-to-month,Fiber optic,0.7463937
8800-JOOCF,84.05,12,Month-to-month,Fiber optic,0.7459243
5804-HYIEZ,106.05,70,Month-to-month,Fiber optic,0.7454429
4660-IRIBM,87.9,18,Month-to-month,Fiber optic,0.7454278
9552-TGUZV,75.0,8,Month-to-month,Fiber optic,0.7450895
4299-SIMNS,81.15,9,Month-to-month,Fiber optic,0.7444092
0027-KWYKW,83.75,23,Month-to-month,Fiber optic,0.74356663
3320-VEOYC,95.6,14,Month-to-month,Fiber optic,0.7432989
4373-VVHQL,44.75,1,Month-to-month,DSL,0.74170756
4929-XIHVW,95.5,2,Month-to-month,Fiber optic,0.74144584
1219-NNDDO,76.85,9,Month-to-month,Fiber optic,0.7414365
4013-GUXND,20.8,1,Month-to-month,No,0.740689
8270-RKSAP,70.5,9,Month-to-month,Fiber optic,0.7401489
1766-GKNMI,84.9,29,Month-to-month,Fiber optic,0.7401205
9696-RMYBA,80.1,5,Month-to-month,Fiber optic,0.7395504
9323-HGFWY,101.9,27,One year,Fiber optic,0.73910683
1746-TGTWV,75.35,1,Month-to-month,Fiber optic,0.738295
2439-LYPMQ,102.6,38,Month-to-month,Fiber optic,0.73788375
4947-DSMXK,97.7,34,Month-to-month,Fiber optic,0.737763
6077-BDPXA,70.15,3,Month-to-month,Fiber optic,0.7365359
9244-ZVAPM,45.6,1,Month-to-month,DSL,0.73600966
0644-OQMDK,70.65,4,Month-to-month,Fiber optic,0.735313
6851-WEFYX,100.8,35,Month-to-month,Fiber optic,0.73445135
9741-YLNTD,87.95,6,Month-to-month,Fiber optic,0.73436266
0682-USIXD,86.05,21,Month-to-month,Fiber optic,0.73402923
1197-BVMVG,74.45,4,Month-to-month,Fiber optic,0.7321658
0988-JRWWP,54.2,3,Month-to-month,DSL,0.73071134
2135-DQWAQ,85.3,5,Month-to-month,Fiber optic,0.7305679
8778-LMWTJ,74.85,9,Month-to-month,Fiber optic,0.7300775
4482-EWFMI,69.7,2,Month-to-month,Fiber optic,0.7292225
7394-LWLYN,70.15,2,Month-to-month,Fiber optic,0.7292225
4749-OJKQU,75.65,4,Month-to-month,Fiber optic,0.72895664
5968-VXZLG,46.6,2,Month-to-month,DSL,0.72848994
8950-MTZNV,44.95,1,Month-to-month,DSL,0.72847503
8710-YGLWG,44.9,1,Month-to-month,DSL,0.72847503
8468-EHYJA,99.65,57,Month-to-month,Fiber optic,0.7283021
3841-CONLJ,35.0,1,Month-to-month,DSL,0.727292
1472-TNCWL,94.7,36,Month-to-month,Fiber optic,0.72696716
6362-QHAFM,108.3,42,One year,Fiber optic,0.7267037
3050-GBUSH,34.8,3,Month-to-month,DSL,0.72633135
9572-WUKSB,29.9,3,Month-to-month,DSL,0.72555
7018-WBJNK,78.3,13,Month-to-month,Fiber optic,0.7246292
4450-DLLMH,71.3,2,Month-to-month,Fiber optic,0.72462815
7729-JTEEC,44.5,2,Month-to-month,DSL,0.72402245
7245-NIIWQ,69.85,3,Month-to-month,Fiber optic,0.7231484
9752-ZNQUT,48.6,1,Month-to-month,DSL,0.7216952
6080-TCMYC,81.2,40,Month-to-month,Fiber optic,0.7204009
3904-UKFRE,80.1,4,Month-to-month,Fiber optic,0.71986276
1866-OBPNR,74.6,1,Month-to-month,Fiber optic,0.7198141
4853-OITSN,89.15,5,Month-to-month,Fiber optic,0.71911204
6860-YRJZP,74.05,9,Month-to-month,Fiber optic,0.7186195
6968-MHOMU,45.0,58,One year,DSL,0.7179549
7354-OIJLX,75.85,9,Month-to-month,Fiber optic,0.7163313
5928-QLDHB,76.25,9,Month-to-month,Fiber optic,0.7163313
7365-BVCJH,24.4,1,Month-to-month,DSL,0.71582276
5606-AMZBO,78.15,10,Month-to-month,Fiber optic,0.7155002
4884-ZTHVF,87.1,8,Month-to-month,Fiber optic,0.7149272
5399-ZIMKF,74.65,5,Month-to-month,Fiber optic,0.7148277
2262-SLNVK,70.1,1,Month-to-month,Fiber optic,0.71475875
2275-RBYQS,45.4,1,Month-to-month,DSL,0.71457803
2824-MYYBN,95.25,37,Month-to-month,Fiber optic,0.7145375
7096-UCLNH,20.05,1,Month-to-month,No,0.714324
3030-ZKIWL,20.05,1,Month-to-month,No,0.714324
8749-CLJXC,20.05,1,Month-to-month,No,0.714324
6435-SRWBJ,82.75,5,Month-to-month,Fiber optic,0.7134394
2027-CWDNU,85.6,18,Month-to-month,Fiber optic,0.71316916
7794-JASDG,50.75,1,Month-to-month,DSL,0.71314114
6888-SBYAI,50.7,1,Month-to-month,DSL,0.71314114
6088-BXMRG,98.85,32,Month-to-month,Fiber optic,0.71237385
8120-JDCAM,69.55,4,Month-to-month,Fiber optic,0.71228796
7225-CBZPL,94.8,17,Month-to-month,Fiber optic,0.7117999
1724-IQWNM,19.3,1,Month-to-month,No,0.7114751
7206-PQBBZ,70.2,11,Month-to-month,Fiber optic,0.7108982
0430-IHCDJ,49.0,15,Month-to-month,DSL,0.7104515
3930-ZGWVE,19.75,1,Month-to-month,No,0.71043855
8896-BQTTI,25.0,1,Month-to-month,No,0.7099337
3199-XGZCY,75.25,8,Month-to-month,Fiber optic,0.7093069
0468-YRPXN,98.8,29,Month-to-month,Fiber optic,0.70902824
3976-NLDEZ,20.6,1,Month-to-month,No,0.7089813
8705-WZCYL,44.8,1,Month-to-month,DSL,0.7088149
6341-AEVKX,104.3,62,One year,Fiber optic,0.7086753
3312-UUMZW,98.85,32,Month-to-month,Fiber optic,0.70838314
4291-SHSBH,69.55,7,Month-to-month,Fiber optic,0.70837766
3453-RTHJQ,69.1,6,Month-to-month,Fiber optic,0.70837766
7668-XCFYV,92.55,17,Month-to-month,Fiber optic,0.7062875
7698-YFGEZ,20.0,1,Month-to-month,No,0.70498264
3411-WLRSQ,74.6,3,Month-to-month,Fiber optic,0.7041957
5404-GGUKR,51.35,5,Month-to-month,DSL,0.70411396
4291-HPAXL,19.85,1,Month-to-month,No,0.7038766
7537-RBWEA,25.15,1,Month-to-month,DSL,0.70255786
8107-KNCIM,75.1,14,Month-to-month,Fiber optic,0.70175767
6856-RAURS,74.9,2,Month-to-month,Fiber optic,0.7012258
3420-YJLQT,79.55,2,Month-to-month,Fiber optic,0.7011618
7722-CVFXN,105.2,54,One year,Fiber optic,0.70086145
4525-VZCZG,105.85,54,One year,Fiber optic,0.700761
4813-HQMGZ,90.25,8,Month-to-month,Fiber optic,0.7006605
4395-PZMSN,85.55,5,Month-to-month,Fiber optic,0.70029706
8104-OSKWT,79.8,12,Month-to-month,Fiber optic,0.70010555
2692-PFYTJ,25.75,1,Month-to-month,No,0.69949746
8617-ENBDS,73.6,3,Month-to-month,Fiber optic,0.698996
5429-LWCMV,89.15,12,Month-to-month,Fiber optic,0.69828695
4062-HBMOS,103.05,52,Month-to-month,Fiber optic,0.69766474
8974-OVACP,20.15,1,Month-to-month,No,0.6973151
0840-DFEZH,75.35,7,Month-to-month,Fiber optic,0.6972558
2799-ARNLO,69.35,5,Month-to-month,Fiber optic,0.6969627
1763-WQFUK,50.5,3,Month-to-month,DSL,0.6958358
1261-FWTTE,34.65,23,Month-to-month,DSL,0.69542557
3338-CVVEH,94.55,12,Month-to-month,Fiber optic,0.695322
4521-YEEHE,88.85,18,Month-to-month,Fiber optic,0.69331247
5935-FCCNB,94.2,17,Month-to-month,Fiber optic,0.6931321
2603-HVKCG,101.4,31,Month-to-month,Fiber optic,0.69300157
6185-TASNN,46.3,1,Month-to-month,DSL,0.6926348
7572-KPVKK,104.05,62,Two year,Fiber optic,0.6922857
4029-HPFVY,70.3,3,Month-to-month,Fiber optic,0.69111013
1104-TNLZA,105.8,28,Month-to-month,Fiber optic,0.69100356
6583-KQJLK,94.65,15,Month-to-month,Fiber optic,0.69048697
8648-PFRMP,46.35,14,Month-to-month,DSL,0.6889596
0928-JMXNP,29.9,4,Month-to-month,DSL,0.6887456
9506-UXUSK,70.15,13,Month-to-month,Fiber optic,0.6864081
4060-LDNLU,96.2,7,Month-to-month,Fiber optic,0.68621707
5514-YQENT,111.15,41,Two year,Fiber optic,0.6856096
7928-VJYAB,90.6,11,Month-to-month,Fiber optic,0.6843584
5216-WASFJ,84.85,31,Month-to-month,Fiber optic,0.68408024
7590-VHVEG,29.85,1,Month-to-month,DSL,0.6830597
